datetime,count
2011-01-20 00:00:00,12.07
2011-01-20 01:00:00,6.0
2011-01-20 02:00:00,3.82
2011-01-20 03:00:00,2.86
2011-01-20 04:00:00,2.56
2011-01-20 05:00:00,8.35
2011-01-20 06:00:00,32.53
2011-01-20 07:00:00,86.6
2011-01-20 08:00:00,185.57
2011-01-20 09:00:00,111.69
2011-01-20 10:00:00,57.95
2011-01-20 11:00:00,62.42
2011-01-20 12:00:00,76.7
2011-01-20 13:00:00,71.72
2011-01-20 14:00:00,76.17
2011-01-20 15:00:00,80.31
2011-01-20 16:00:00,95.31
2011-01-20 17:00:00,180.35
2011-01-20 18:00:00,168.2
2011-01-20 19:00:00,102.85
2011-01-20 20:00:00,71.6
2011-01-20 21:00:00,46.26
2011-01-20 22:00:00,36.51
2011-01-20 23:00:00,25.58
2011-01-21 00:00:00,11.19
2011-01-21 01:00:00,6.5
2011-01-21 02:00:00,4.04
2011-01-21 03:00:00,3.33
2011-01-21 04:00:00,2.42
2011-01-21 05:00:00,6.01
2011-01-21 06:00:00,31.87
2011-01-21 07:00:00,88.72
2011-01-21 08:00:00,181.81
2011-01-21 09:00:00,107.66
2011-01-21 10:00:00,39.12
2011-01-21 11:00:00,50.42
2011-01-21 12:00:00,60.27
2011-01-21 13:00:00,57.79
2011-01-21 14:00:00,56.14
2011-01-21 15:00:00,56.77
2011-01-21 16:00:00,77.36
2011-01-21 17:00:00,142.44
2011-01-21 18:00:00,141.88
2011-01-21 19:00:00,100.33
2011-01-21 20:00:00,60.38
2011-01-21 21:00:00,44.16
2011-01-21 22:00:00,31.84
2011-01-21 23:00:00,17.45
2011-01-22 00:00:00,24.24
2011-01-22 01:00:00,21.35
2011-01-22 02:00:00,17.88
2011-01-22 03:00:00,10.35
2011-01-22 04:00:00,3.16
2011-01-22 06:00:00,4.71
2011-01-22 07:00:00,24.32
2011-01-22 08:00:00,41.46
2011-01-22 09:00:00,43.12
2011-01-22 10:00:00,66.62
2011-01-22 11:00:00,70.5
2011-01-22 12:00:00,74.78
2011-01-22 13:00:00,82.32
2011-01-22 14:00:00,78.33
2011-01-22 15:00:00,79.11
2011-01-22 16:00:00,80.75
2011-01-22 17:00:00,83.15
2011-01-22 18:00:00,69.6
2011-01-22 19:00:00,52.55
2011-01-22 20:00:00,53.25
2011-01-22 21:00:00,39.9
2011-01-22 22:00:00,26.98
2011-01-22 23:00:00,18.84
2011-01-23 00:00:00,27.83
2011-01-23 01:00:00,23.66
2011-01-23 02:00:00,17.91
2011-01-23 03:00:00,16.06
2011-01-23 05:00:00,2.95
2011-01-23 06:00:00,5.08
2011-01-23 07:00:00,19.58
2011-01-23 08:00:00,32.59
2011-01-23 09:00:00,38.92
2011-01-23 10:00:00,60.85
2011-01-23 11:00:00,68.82
2011-01-23 12:00:00,76.28
2011-01-23 13:00:00,75.17
2011-01-23 14:00:00,80.33
2011-01-23 15:00:00,80.65
2011-01-23 16:00:00,80.58
2011-01-23 17:00:00,81.79
2011-01-23 18:00:00,78.26
2011-01-23 19:00:00,56.79
2011-01-23 20:00:00,47.73
2011-01-23 21:00:00,35.97
2011-01-23 22:00:00,26.48
2011-01-23 23:00:00,14.91
2011-01-24 00:00:00,14.42
2011-01-24 01:00:00,6.87
2011-01-24 03:00:00,2.52
2011-01-24 04:00:00,2.14
2011-01-24 05:00:00,7.96
2011-01-24 06:00:00,25.65
2011-01-24 07:00:00,98.09
2011-01-24 08:00:00,179.87
2011-01-24 09:00:00,116.48
2011-01-24 10:00:00,50.08
2011-01-24 11:00:00,44.14
2011-01-24 12:00:00,49.16
2011-01-24 13:00:00,43.85
2011-01-24 14:00:00,40.59
2011-01-24 15:00:00,56.23
2011-01-24 16:00:00,62.37
2011-01-24 17:00:00,136.11
2011-01-24 18:00:00,135.87
2011-01-24 19:00:00,97.38
2011-01-24 20:00:00,66.8
2011-01-24 21:00:00,45.82
2011-01-24 22:00:00,26.66
2011-01-24 23:00:00,18.25
2011-01-25 00:00:00,10.0
2011-01-25 01:00:00,6.62
2011-01-25 02:00:00,2.74
2011-01-25 04:00:00,2.04
2011-01-25 05:00:00,7.71
2011-01-25 06:00:00,29.34
2011-01-25 07:00:00,87.89
2011-01-25 08:00:00,147.77
2011-01-25 09:00:00,113.97
2011-01-25 10:00:00,51.71
2011-01-25 11:00:00,59.15
2011-01-25 12:00:00,66.98
2011-01-25 13:00:00,68.17
2011-01-25 14:00:00,73.67
2011-01-25 15:00:00,80.13
2011-01-25 16:00:00,95.63
2011-01-25 17:00:00,184.29
2011-01-25 18:00:00,177.75
2011-01-25 19:00:00,109.88
2011-01-25 20:00:00,75.17
2011-01-25 21:00:00,49.27
2011-01-25 22:00:00,36.69
2011-01-25 23:00:00,28.68
2011-01-26 00:00:00,10.02
2011-01-26 01:00:00,6.4
2011-01-26 02:00:00,3.89
2011-01-26 05:00:00,6.0
2011-01-26 06:00:00,28.9
2011-01-26 07:00:00,75.11
2011-01-26 08:00:00,135.13
2011-01-26 09:00:00,90.79
2011-01-26 10:00:00,45.67
2011-01-26 11:00:00,42.25
2011-01-26 12:00:00,41.24
2011-01-26 13:00:00,41.77
2011-01-26 14:00:00,41.74
2011-01-26 15:00:00,41.12
2011-01-26 16:00:00,57.62
2011-01-26 17:00:00,111.43
2011-01-27 16:00:00,75.41
2011-01-27 17:00:00,142.77
2011-01-27 18:00:00,129.84
2011-01-27 19:00:00,98.49
2011-01-27 20:00:00,79.91
2011-01-27 21:00:00,53.1
2011-01-27 22:00:00,36.19
2011-01-27 23:00:00,23.05
2011-01-28 00:00:00,9.86
2011-01-28 01:00:00,6.97
2011-01-28 02:00:00,3.05
2011-01-28 03:00:00,2.45
2011-01-28 05:00:00,8.2
2011-01-28 06:00:00,30.56
2011-01-28 07:00:00,95.88
2011-01-28 08:00:00,155.44
2011-01-28 09:00:00,97.55
2011-01-28 10:00:00,41.35
2011-01-28 11:00:00,46.9
2011-01-28 12:00:00,47.59
2011-01-28 13:00:00,47.81
2011-01-28 14:00:00,41.32
2011-01-28 15:00:00,43.72
2011-01-28 16:00:00,64.9
2011-01-28 17:00:00,152.92
2011-01-28 18:00:00,152.66
2011-01-28 19:00:00,105.19
2011-01-28 20:00:00,74.44
2011-01-28 21:00:00,47.63
2011-01-28 22:00:00,36.01
2011-01-28 23:00:00,30.61
2011-01-29 00:00:00,29.91
2011-01-29 01:00:00,24.4
2011-01-29 02:00:00,18.28
2011-01-29 03:00:00,15.61
2011-01-29 04:00:00,4.13
2011-01-29 06:00:00,4.45
2011-01-29 07:00:00,20.32
2011-01-29 08:00:00,34.52
